Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50403499,Just Us: An American Conversation,Claudia Rankine,"Rankine, Claudia",,"=""1644450216""","=""9781644450215""",0,4.34,Graywolf Press,Hardcover,352,2020,2020,,2021/07/18,to-read,to-read (#30),to-read,,,,0,0
20613761,Citizen: An American Lyric,Claudia Rankine,"Rankine, Claudia",,"=""1555976905""","=""9781555976903""",0,4.25,Graywolf Press,Paperback,169,2014,2014,,2021/07/18,to-read,to-read (#29),to-read,,,,0,0
29633913,"Emergent Strategy: Shaping Change, Changing Worlds (Emergent Strategy, #0)",Adrienne Maree Brown,"Brown, Adrienne Maree",,"=""1849352607""","=""9781849352604""",0,4.25,AK Press,Paperback,280,2017,2017,,2021/07/18,to-read,to-read (#28),to-read,,,,0,0
22005475,"Less but Better / Weniger, aber besser",Dieter Rams,"Rams, Dieter",,"=""3899555252""","=""9783899555257""",0,4.29,gestalten,Mass Market Paperback,154,2021,1995,,2021/07/18,to-read,to-read (#27),to-read,,,,0,0
1203253,Towards a New Museum,Victoria Newhouse,"Newhouse, Victoria",,"=""1885254601""","=""9781885254603""",0,3.80,The Monacelli Press,Paperback,288,1998,1998,,2021/07/18,,,read,,,,1,0
56637945,The Night the Lights Went Out: A Memoir of Life After Brain Damage,Drew Magary,"Magary, Drew",,"=""0593232712""","=""9780593232712""",0,4.00,Potter/Ten Speed/Harmony/Rodale,Hardcover,288,2021,2021,,2021/07/18,to-read,to-read (#26),to-read,,,,0,0
55334728,Tom Sachs: Handmade Paintings,David Rimanelli,"Rimanelli, David",Naomi Fry,"=""0847870286""","=""9780847870288""",0,3.67,Rizzoli,Hardcover,180,2021,,,2021/07/18,to-read,to-read (#25),to-read,,,,0,0
8086216,Plenty,Yotam Ottolenghi,"Ottolenghi, Yotam",,"=""0091933684""","=""9780091933685""",0,4.13,"Ebury Publishing, Random House",Hardcover,288,2010,2010,,2021/07/18,to-read,to-read (#24),to-read,,,,0,0
5633364,On Kindness,Adam Phillips,"Phillips, Adam",Barbara Taylor,"=""0374226504""","=""9780374226503""",0,3.54,"Farrar, Straus and Giroux",Hardcover,128,2009,2009,,2021/07/18,to-read,to-read (#23),to-read,,,,0,0
2784,Ways of Seeing,John Berger,"Berger, John",,"=""0140135154""","=""9780140135152""",0,3.94,Penguin,Paperback,176,1990,1972,,2021/07/18,to-read,to-read (#22),to-read,,,,0,0
